store_name,address_code,store_postcode,store_addr,store_city,store_town,store_dist
성남제일점,41131,13308,"경기도 성남시 수정구 성남대로 1268(태평동) GS칼텍스 주유소 내",경기도,성남시,수정구
성내점,11740,05385,"서울특별시 강동구 올림픽로 578(성내동) GS칼텍스 주유소 내",서울특별시,강동구,
성서점,27290,42703,"대구광역시 달서구 달구벌대로 1270(이곡동) GS칼텍스 주유소 내",대구광역시,달서구,
성암점,29155,61740,"광주광역시 남구 송암로 40(송하동) autoOasis 성암점",광주광역시,남구,
성원점,27200,42499,"대구광역시 남구 대명서로 85(대명동)",대구광역시,남구,
성은점,26530,47033,"부산광역시 사상구 강변대로 458(엄궁동)",부산광역시,사상구,
성화점(구.우암점),43112,28639,"충청북도 청주시 서원구 신성화로34번길 1-1(성화동)",충청북도,청주시,서원구
세교점,41220,17849,"경기도 평택시 동삭로 224(세교동) GS칼텍스 주유소 내",경기도,평택시,
"세이브존 성남점",41131,13272,"경기도 성남시 수정구 산성대로 337(신흥동)",경기도,성남시,수정구
소래포구점,28200,21669,"인천광역시 남동구 소래역동로 5-2(논현동) 방옥빌딩",인천광역시,남동구,
소호점,46130,59665,"전라남도 여수시 소호로 520(소호동)",전라남도,여수시,
송도점,28185,21998,"인천광역시 연수구 하모니로 128(송도동) GS칼텍스 주유소 내",인천광역시,연수구,
수완셀프점,29200,62306,"광주광역시 광산구 장신로 152(수완동) GS칼텍스 주유소 내",광주광역시,광산구,
수지점,41465,16846,"경기도 용인시 수지구 수지로 164(풍덕천동) GS칼텍스 주유소 내",경기도,용인시,수지구
수지풍덕천점,41465,16832,"경기도 용인시 수지구 수지로 350(풍덕천동) GS칼텍스 주유소 내",경기도,용인시,수지구
스마트점,45113,54817,"전라북도 전주시 덕진구 동부대로 786(호성동1가) GS칼텍스 주유소 내",전라북도,전주시,덕진구
"스타필드 수원점_휴업(240531)",41111,16318,"경기도 수원시 장안구 대평로 27(정자동, 화서역 파크푸르지오) 스타필드 수원점 B3F 주차장 내",경기도,수원시,장안구
시흥대한점,41390,14950,"경기도 시흥시 수인로 3293(신천동) GS칼텍스 주유소 내",경기도,시흥시,
시흥하중점,41390,14976,"경기도 시흥시 하중로 179(하중동)",경기도,시흥시,
신경화점,48129,51666,"경상남도 창원시 진해구 태백로 16(경화동)",경상남도,창원시,진해구
신광점,11305,01038,"서울특별시 강북구 삼양로 484(수유동) GS칼텍스 주유소 내",서울특별시,강북구,
신길점,11560,07314,"서울특별시 영등포구 도신로 185(신길동)",서울특별시,영등포구,
신방통정점,44131,31208,"충청남도 천안시 동남구 통정9로 42(신방동)",충청남도,천안시,동남구
신창(광주)점,29200,62251,"광주광역시 광산구 왕버들로289번길 45(신창동)",광주광역시,광산구,
신탄진점,30230,34331,"대전광역시 대덕구 덕암로258번길 11(덕암동)",대전광역시,대덕구,
쌍용점,44133,31149,"충청남도 천안시 서북구 서부대로 472(쌍용동) (쌍용동)",충청남도,천안시,서북구
아카데미점,31170,44096,"울산광역시 동구 방어진순환도로 486(방어동) GS칼텍스 주유소 내",울산광역시,동구,
안녕점,41590,18326,"경기도 화성시 안녕길 18(안녕동)",경기도,화성시,
안산공단점,41273,15426,"경기도 안산시 단원구 산단로 313(신길동) GS칼텍스 주유소 내",경기도,안산시,단원구
안산스타점,41273,15217,"경기도 안산시 단원구 달미로 72(선부동) GS칼텍스 주유소 내",경기도,안산시,단원구
안산이동점,41271,15489,"경기도 안산시 상록구 양지편2길 55(이동)",경기도,안산시,상록구
안서점,44131,31066,"충청남도 천안시 동남구 호서대길 6(안서동)",충청남도,천안시,동남구
안양금성점,41173,14055,"경기도 안양시 동안구 시민대로 325(관양동) GS칼텍스 주유소 내",경기도,안양시,동안구
안양동점,41171,14001,"경기도 안양시 만안구 병목안로 9(안양동)",경기도,안양시,만안구
안일점,41220,17935,"경기도 평택시 안중읍 서동대로 1736 GS칼텍스 주유소 내",경기도,평택시,
야탑엔씨(NC)점),41135,13497,"경기도 성남시 분당구 야탑로81번길 11(야탑동) NC백화점 야탑점 5층 주차장 내",경기도,성남시,분당구
양덕점,47113,37593,"경상북도 포항시 북구 장량로174번길 30-1(양덕동)",경상북도,포항시,북구
양산점,29170,61071,"광주광역시 북구 연양로67번길 35(양산동)",광주광역시,북구,
양천점,11470,08017,"서울특별시 양천구 신목로5길 15(신정동)",서울특별시,양천구,
여수중앙점,46130,59633,"전라남도 여수시 시청로 171(여천동) 나동",전라남도,여수시,
여월신도시점,41190,14478,"경기도 부천시 여월로 112(작동) GS칼텍스 주유소 내",경기도,부천시,
연세점,45140,54567,"전라북도 익산시 부송로 33(어양동) GS칼텍스 주유소 내",전라북도,익산시,
연수점,28185,21917,"인천광역시 연수구 용담로 58(청학동)",인천광역시,연수구,
연일공단점,47111,37840,"경상북도 포항시 남구 연일읍 철강로 99",경상북도,포항시,남구
열린내덕점,43114,28491,"충청북도 청주시 청원구 1순환로225번길 4(내덕동)",충청북도,청주시,청원구
열린스타점,41430,16044,"경기도 의왕시 모락로 117(오전동) GS칼텍스 주유소 내",경기도,의왕시,
열린점,41173,13944,"경기도 안양시 동안구 관악대로 248(비산동) GS칼텍스 주유소 내",경기도,안양시,동안구
영원점,41281,10516,"경기도 고양시 덕양구 지도로 8(토당동) GS 칼텍스 주유소 내",경기도,고양시,덕양구
예산점,44810,32423,"충청남도 예산군 예산읍 벚꽃로 209 석양리 248-21",충청남도,예산군,
오일월드점,27230,41483,"대구광역시 북구 칠곡중앙대로 25(팔달동) GS칼텍스 주유소 내",대구광역시,북구,
"오토오아시스 기안점",41590,18338,"경기도 화성시 기배로 57(기안동) 1층",경기도,화성시,
"오토오아시스 장안산단점",26710,46034,"부산광역시 기장군 장안읍 장안산단7로 30",부산광역시,기장군,
옥동점,31140,44657,"울산광역시 남구 문수로445번길 4-1(신정동) autoOasis 옥동점",울산광역시,남구,
옥천점,43730,29037,"충청북도 옥천군 옥천읍 옥천로 1631",충청북도,옥천군,
완주과학단지점,45710,55319,"전라북도 완주군 봉동읍 과학로 979 GS칼텍스 주유소 내",전라북도,완주군,
외도점,50110,63069,"제주특별자치도 제주시 우정로16길 28(외도일동)",제주특별자치도,제주시,
용담점,50110,63174,"제주특별자치도 제주시 용담로 136(용담일동)",제주특별자치도,제주시,
용인처인점,41461,17151,"경기도 용인시 처인구 고림로 110(고림동) (고림동)오토오아시스 용인처인점",경기도,용인시,처인구
용전점,30110,34544,"대전광역시 동구 계족로 473(용전동)",대전광역시,동구,
용화점,44200,31574,"충청남도 아산시 어의정로 113(온천동)",충청남도,아산시,
용흥점,47113,37686,"경상북도 포항시 북구 새천년대로 693(용흥동)",경상북도,포항시,북구
우리점,41173,14109,"경기도 안양시 동안구 경수대로 584(호계동) GS칼텍스 주유소 내",경기도,안양시,동안구
우림상북점,48330,50579,"경상남도 양산시 상북면 수서로 43-2",경상남도,양산시,
원곡점,41273,15391,"경기도 안산시 단원구 원선로 11(원곡동)",경기도,안산시,단원구
유니시티점,48121,51371,"경상남도 창원시 의창구 평산로155번길 6-1(서상동)",경상남도,창원시,의창구
율하신도시점,48250,51019,"경상남도 김해시 율하로 293(율하동) GS칼텍스 주유소내",경상남도,김해시,
은마점,11680,06283,"서울특별시 강남구 영동대로 235(대치동)",서울특별시,강남구,
은평서부점,11380,03467,"서울특별시 은평구 응암로 210(응암동) GS칼텍스 주유소 내",서울특별시,은평구,
읍내점,27230,41436,"대구광역시 북구 대천로 41(읍내동) (읍내동)",대구광역시,북구,
의당점,44150,32517,"충청남도 공주시 의당면 의당로 301",충청남도,공주시,
"이마트 구성점",41463,16907,"경기도 용인시 기흥구 용구대로 2441(마북동) 오토오아시스 구성점",경기도,용인시,기흥구
"이마트 원주점",51130,26395,"강원특별자치도 원주시 북원로 1930(무실동) GS칼텍스 주유소 내",강원특별자치도,원주시,
이천사음점,41500,17308,"경기도 이천시 경충대로2996번길 54(사음동)",경기도,이천시,
익산훼미리점,45140,54555,"전라북도 익산시 무왕로 1223(부송동) GS칼텍스 주유소내 오토오아시스 익산훼미리점",전라북도,익산시,
인동점,47190,39437,"경상북도 구미시 인동19길 21-10(인의동)",경상북도,구미시,
