구분(1),레벨01(1),2018,관용,자가용,영업용,2019,관용,자가용,영업용,2020,관용,자가용,영업용,2021,관용,자가용,영업용,2022,관용,자가용,영업용,2023,관용,자가용,영업용
총합계,승용,18676924,32819,17663188,980917,19177517,33344,18071723,1072450,19860955,33619,18686570,1140766,20410648,34548,19168262,1207838,20952759,35071,19647975,1269713,21390202,35481,20079294,1275427
총합계,승합,843794,22540,696898,124356,811799,23014,663494,125291,783842,23938,639504,120400,749968,24460,608894,116614,723961,24755,583625,115581,694574,25009,555119,114446
총합계,화물,3590939,31957,3152275,406707,3592586,33072,3143102,416412,3615245,33391,3156602,425252,3631975,33800,3159844,438331,3696317,34587,3211121,450609,3726400,35318,3225194,465888
총합계,특수,90898,2784,27212,60902,95464,2867,30043,62554,105937,3009,39010,63918,118510,3141,49733,65636,130041,3441,59623,66977,138025,3702,66655,67668
총합계,총계,23202555,90100,21539573,1572882,23677366,92297,21908362,1676707,24365979,93957,22521686,1750336,24911101,95949,22986733,1828419,25503078,97854,23502344,1902880,25949201,99510,23926262,1923429
