store_name,store_addr,address_code,store_city,store_town,store_dist
대구태전,"대구광역시 북구 학정로 94",27230,대구광역시,북구,
대구현풍,"대구광역시 달성군 현풍면 비슬로627",27710,대구광역시,달성군,
대농,"서울특별시 양천구 중앙로 331 (신월동)",11470,서울특별시,양천구,
대동,"경기도 이천시 갈산로 39 (증포동)",41500,경기도,이천시,
대성,"충청남도 아산시 온천대로 1660",44200,충청남도,아산시,
대소,"충청북도 음성군 대소면 오태로 120",43770,충청북도,음성군,
대잠,"경상북도 포항시 남구 희망대로 658",47111,경상북도,포항시,남구
대전,"대전광역시 중구 중앙로 64 (대흥동)",30140,대전광역시,중구,
대전4공단,"대전광역시 대덕구 대덕대로 1412",30230,대전광역시,대덕구,
대전대원,"대전광역시 대덕구 동서대로 1772",30230,대전광역시,대덕구,
대전오류,"대전광역시 중구 동서대로 1285(오류동)",30140,대전광역시,중구,
대전용산,"대전광역시 유성구 테크노중앙로 139",30200,대전광역시,유성구,
대전청사,"대전광역시 서구 대덕대로 188",30170,대전광역시,서구,
대전터미널,"대전광역시 동구 동서대로 1689 주차장5층",30110,대전광역시,동구,
대치,"서울특별시 강남구 역삼로 435",11680,서울특별시,강남구,
대현,"강원도 원주시 한지공원길 36 (명륜동)",42130,강원특별자치도,원주시,
대호,"경기도 수원시 영통구 창룡대로 442(이의동)",41117,경기도,수원시,영통구
덕성,"대전광역시 동구 대전로 283",30110,대전광역시,동구,
덕소,"경기도 남양주시 와부읍 덕소로 242-6",41360,경기도,남양주시,
덕양화정,"경기도 고양시 덕양구 성신로16",41281,경기도,고양시,덕양구
덕천화명,"부산광역시 북구 금곡대로 124",26320,부산광역시,북구,
도곡,"서울특별시 강남구 도곡로 166",11680,서울특별시,강남구,
도남,"제주특별자치도 제주시 연삼로 326",50110,제주특별자치도,제주시,
도농,"경기도 남양주시 경춘로374",41360,경기도,남양주시,
도안,"대전광역시 유성구 원신흥로55번길 66-5 (원신흥동,1층)",30200,대전광역시,유성구,
도안예성,"대전광역시 유성구 도안동로 488(봉명동)",30200,대전광역시,유성구,
돌고래,"부산광역시 해운대구 해운대로573번길 16",26350,부산광역시,해운대구,
동광양,"전라남도 광양시 중마로 538",46230,전라남도,광양시,
동김해,"경상남도 김해시 김해대로2433",48250,경상남도,김해시,
동두천,"경기도 동두천시 평화로 2334-10(지행동)",41250,경기도,동두천시,
동서변,"대구광역시 북구 호국로51길 29",27230,대구광역시,북구,
동천,"대구광역시 북구 팔거천동로 197",27230,대구광역시,북구,
동천마을,"광주광역시 북구 하남대로 691 (동림동)",29170,광주광역시,북구,
동탄SELF,"경기도 화성시 여울로3길 21",41590,경기도,화성시,
동탄목동,"경기도 화성시 왕배산1길 16. 1층(DK주차타워)",41590,경기도,화성시,
동탄신도시,"경기도 화성시 10용사로 650",41590,경기도,화성시,
동탄장지,"경기도 화성시 동탄장지천5길 8(장지동)",41590,경기도,화성시,
동탄정안,"경기도 화성시 삼성1로 231 (석우동)",41590,경기도,화성시,
동탄중앙,"경기도 화성시 반송동 142-3",41590,경기도,화성시,
동해,"강원도 동해시 동해역길 14",42170,강원특별자치도,동해시,
동해단봉,"강원도 동해시 강원남부로 4777 (단봉동)",42170,강원특별자치도,동해시,
동화,"경기도 화성시 봉담읍 효행로184번길 3",41590,경기도,화성시,
두꺼비,"부산광역시 북구 금곡대로 362",26320,부산광역시,북구,
둔산,"대전광역시 서구 둔산로 139",30170,대전광역시,서구,
득량,"경상북도 포항시 북구 새천년대로 515",47113,경상북도,포항시,북구
롯데마트당진점,"충청남도 당진시 정안로 20 (원당동) 롯데마트 3층 수리코너",44270,충청남도,당진시,
마전,"인천광역시 서구 완정로 34번길 57 동성프라자1층",28260,인천광역시,서구,
만수광해,"인천광역시 남동구 인주대로 879 (만수동)",28200,인천광역시,남동구,
맘모스,"대구광역시 북구 동북로 21",27230,대구광역시,북구,
명곡,"대구광역시 달성군 화원읍 화암로25",27710,대구광역시,달성군,
명진,"경상북도 영천시 최무선로 191",47230,경상북도,영천시,
모라으뜸,"부산광역시 사상구 모덕로 69 (모라동)",26530,부산광역시,사상구,
모범,"경상북도 구미시 송정대로 12 (송정동)",47190,경상북도,구미시,
모현,"경기도 용인시 처인구 모현면 문현로 150",41461,경기도,용인시,처인구
목천,"충청남도 천안시 동남구 목천읍 충절로 956",44131,충청남도,천안시,동남구
목포터미널,"전라남도 목포시 양을로 528 (상동)",46110,전라남도,목포시,
무지개,"울산광역시 동구 문현1길 24",31170,울산광역시,동구,
문산,"경기도 파주시 문산읍 방촌로 1684",41480,경기도,파주시,
문정,"서울특별시 송파구 동남로6길 30 (문정동)",11710,서울특별시,송파구,
민락,"경기도 의정부시 충의로 91",41150,경기도,의정부시,
밀양,"경상남도 밀양시 밀양대로1811(삼문동)",48270,경상남도,밀양시,
