store_name,store_addr,address_code,store_city,store_town,store_dist
의정부,"경기도 의정부시 의정로 82",41150,경기도,의정부시,
이가,"서울특별시 금천구 시흥대로 441",11545,서울특별시,금천구,
이곡,"대구광역시 달서구 달구벌대로 1176(신당동)",27290,대구광역시,달서구,
이동,"경상북도 포항시 남구 희망대로 398 (이동)",47111,경상북도,포항시,남구
이마트강릉,"강원도 강릉시 경강로 2398-10 3층",42150,강원특별자치도,강릉시,
이마트검단,"인천광역시 서구 서곶로 754 1층",28260,인천광역시,서구,
이마트경산,"경상북도 경산시 옥산로 227 3층",47290,경상북도,경산시,
이마트고잔,"경기도 안산시 단원구 원포공원1로 46 4층",41273,경기도,안산시,단원구
이마트과천,"경기도 과천시 별양상가3로 11 지하4층",41290,경기도,과천시,
이마트광교,"경기도 수원시 영통구 광교로 191 이마트 3층",41117,경기도,수원시,영통구
이마트광명소하,"경기도 광명시 소하로 97(소하동) 4층",41210,경기도,광명시,
이마트광산,"광주광역시 광산구 사암로 172 (우산동) 3층",29200,광주광역시,광산구,
이마트광주,"광주광역시 서구 죽봉대로 61 지하2층",29140,광주광역시,서구,
이마트구로,"서울특별시 구로구 디지털로32길 43 이마트3층",11530,서울특별시,구로구,
이마트구미,"경상북도 구미시 구미대로 256 3층",47190,경상북도,구미시,
이마트군산,"전라북도 군산시 구암3.1로 137 (경암동) 1층",45130,전라북도,군산시,
이마트금정,"부산광역시 금정구 중앙대로1841번길 24 3층",26410,부산광역시,금정구,
이마트김포한강,"경기도 김포시 김포한강 7로 71 (구래동,3층)",41570,경기도,김포시,
이마트김해,"경상남도 김해시 김해대로 2232 (외동) 이마트3층",48250,경상남도,김해시,
이마트남양주,"경기도 남양주시 늘을2로 27 4층 (호평동, 남양주호평이마트",41360,경기도,남양주시,
이마트동구미,"경상북도 구미시 이계북로 23 (임수동) 2층",47190,경상북도,구미시,
이마트동인천,"인천광역시 중구 인중로 134 3층",28110,인천광역시,중구,
이마트동탄,"경기도 화성시 동탄중앙로 376 4층",41590,경기도,화성시,
이마트동해,"강원도 동해시 천곡로 100 3층",42170,강원특별자치도,동해시,
이마트둔산,"대전광역시 서구 둔산북로 41 1층",30170,대전광역시,서구,
이마트마산,"경상남도 창원시 마산합포구 서성로 3 이마트2층",48125,경상남도,창원시,마산합포구
이마트만촌,"대구광역시 수성구 동원로 136 3층",27260,대구광역시,수성구,
이마트목포,"전라남도 목포시 옥암로 138 (옥암동) 1층",46110,전라남도,목포시,
이마트문현,"부산광역시 남구 전포대로 91번길 47, 4층",26290,부산광역시,남구,
이마트반야월,"대구광역시 동구 안심로 389-2 3층",27140,대구광역시,동구,
이마트별내,"경기도 남양주시 순화궁로 167 이마트4층",41360,경기도,남양주시,
이마트보라,"경기도 용인시 기흥구 한보라1로 92 3층",41463,경기도,용인시,기흥구
이마트보령,"충청남도 보령시 해안로 25 2층",44180,충청남도,보령시,
이마트봉선,"광주광역시 남구 봉선로 198 (봉선동) 3층",29155,광주광역시,남구,
이마트사상,"부산광역시 사상구 광장로 17 지하1층",26530,부산광역시,사상구,
이마트산본,"경기도 군포시 산본로 347 4층",41410,경기도,군포시,
이마트서귀포,"제주특별자치도 서귀포시 일주동로 9209 2층",50130,제주특별자치도,서귀포시,
이마트세종,"세종특별자치시 장군면 금송로 687 이마트3층주차장",36110,세종특별자치시,,
이마트속초,"강원도 속초시 설악금강대교로12 이마트3층",42210,강원특별자치도,속초시,
