no,city,town,total,sedan,van,truck,special,addr_code
1,서울특별시,종로구,569548.1,435511.2,39990.4,88504.2,5542.3,11110
2,서울특별시,중구,714826.5,510845.1,48137.2,144283.2,11561,11140
3,서울특별시,용산구,804541.7,664658.2,24323,113734.6,1825.9,11170
4,서울특별시,성동구,1379766.8,1049527.8,64906.7,261241.9,4090.4,11200
5,서울특별시,광진구,1191745.8,910683.3,48839.3,227560.5,4662.7,11215
6,서울특별시,동대문구,1136661.9,859239.2,41963.9,232668.3,2790.4,11230
7,서울특별시,중랑구,1476108.3,1077018.2,82161.1,309961.1,6967.9,11260
8,서울특별시,성북구,1416099.4,1096651.4,112839.1,203924.8,2684.1,11290
9,서울특별시,강북구,908532.9,668641,82032.2,155039.4,2820.4,11305
10,서울특별시,도봉구,1201090.4,917490.2,69616.3,209599.7,4384.2,11320
11,서울특별시,노원구,1858908.6,1506437.9,101860.2,244642.8,5967.8,11350
12,서울특별시,은평구,1601207.8,1265142.4,91144.3,240234.3,4686.9,11380
13,서울특별시,서대문구,1081323.6,842821.4,51025.6,181419.7,6057,11410
14,서울특별시,마포구,1438897.7,1121038.4,55543.1,256364.9,5951.3,11440
15,서울특별시,양천구,1841907.7,1428075.7,94702.9,293490.4,25638.7,11470
16,서울특별시,강서구,2659488.2,2067341.6,114185.1,469025.1,8936.4,11500
17,서울특별시,구로구,1877851.6,1420826.4,93273.7,357157.5,6594,11530
18,서울특별시,금천구,1188239.6,850353.1,76325.5,258158.7,3402.4,11545
19,서울특별시,영등포구,1787787.4,1310419.9,60095.3,390213.5,27058.6,11560
20,서울특별시,동작구,1193148.6,994119.8,38866.9,155514.3,4647.6,11590
21,서울특별시,관악구,1401610.7,1115366,61571.8,220396.2,4276.8,11620
22,서울특별시,서초구,1993148.3,1536249.6,74910,371504.1,10484.6,11650
23,서울특별시,강남구,2862241.7,2516253.9,70854.1,265980.9,9152.9,11680
24,서울특별시,송파구,3117023.6,2284490,144969.6,673047.9,14516,11710
25,서울특별시,강동구,1901416.7,1507571.5,87406.8,301049.1,5389.3,11740
26,부산광역시,중구,506685,195369.4,6700.8,128509.2,176105.7,26110
27,부산광역시,서구,408458.5,283427.8,14253.3,104017.4,6760,26140
28,부산광역시,동구,728196.6,489217.9,19861,112508,106609.7,26170
29,부산광역시,영도구,449113.5,332585,40038.2,72799.6,3690.6,26200
30,부산광역시,부산진구,2032155.1,1645951.7,61236,281466.2,43501.2,26230
31,부산광역시,동래구,1272779.2,976477.3,46179.6,234784.4,15337.9,26260
32,부산광역시,남구,1391866.5,961136.9,66705.2,213153.2,150871.3,26290
33,부산광역시,북구,1510069.4,1138808.8,58889.8,298757.6,13613.2,26320
34,부산광역시,해운대구,2266858.1,1852380,58718.9,313452.1,42307,26350
35,부산광역시,사하구,1565039.4,1190975.5,58461.6,296637.4,18965,26380
36,부산광역시,금정구,1355849.7,855969.9,83028.1,353887.4,62964.4,26410
37,부산광역시,강서구,1324597.9,850127,34353,391005.3,49112.5,26440
38,부산광역시,연제구,1308213.2,942942.2,73550.6,224281.8,67438.7,26470
39,부산광역시,수영구,1733155.3,1525051.8,49218.2,123956.8,34928.5,26500
40,부산광역시,사상구,1298505.7,861042.3,48509.2,364368.8,24585.5,26530
41,부산광역시,기장군,1274844.4,941999.9,80041.7,238485,14317.8,26710
42,대구광역시,중구,664107.6,543096.6,22011.2,97460.2,1539.6,27110
43,대구광역시,동구,2324812.1,1724303.5,87486.7,489587.3,23434.6,27140
44,대구광역시,서구,944643.2,672434.7,31784.6,233771.9,6652,27170
45,대구광역시,남구,676506.4,530557.7,27611.8,116808.1,1528.9,27200
46,대구광역시,북구,2950997.4,2122629.1,90261.7,712747.5,25359.1,27230
47,대구광역시,수성구,2530657,2108415.4,87374.1,328376.1,6491.5,27260
48,대구광역시,달서구,3641173.4,2732506,94719.7,784338.4,29609.2,27290
49,대구광역시,달성군,2071386,1511389.4,80706.2,462775.7,16514.7,27710
50,인천광역시,중구,1324133.5,800066.1,88009.3,311956.5,124101.7,28110
51,인천광역시,동구,392944,235814.7,12208.4,121493.4,23427.5,28140
52,인천광역시,미추홀구,2082920.1,1564338.6,63693.3,401673.1,53215.1,28177
53,인천광역시,연수구,2499966.3,2111336,75782.1,289759.8,23088.3,28185
54,인천광역시,남동구,3942133.6,3136871.9,131106.9,647582.3,26572.6,28200
55,인천광역시,부평구,3128513.7,2479897.5,127677.6,508991.9,11946.7,28237
56,인천광역시,계양구,5515566.2,4879984,102425.5,521818.7,11338.1,28245
57,인천광역시,서구,3854544.7,2819430,170581.3,831361.3,33172,28260
58,인천광역시,강화군,872893.8,643333,48060.7,176701.9,4798.2,28710
59,인천광역시,옹진군,129434.7,91475.3,5126.8,32601,231.6,28720
60,광주광역시,동구,573253.2,465409.8,24093.2,79616.1,4134.1,29110
61,광주광역시,서구,1826035.3,1459349.5,52547.7,302722.7,11415.4,29140
62,광주광역시,남구,1220520.1,974498,52296.3,183262.1,10463.7,29155
63,광주광역시,북구,2678406.8,2028033,107788.9,513304.5,29280.4,29170
64,광주광역시,광산구,3054118.3,2055098.6,80805.8,860147.1,58066.8,29200
65,대전광역시,동구,1290387.5,923916.2,59056.5,297949.2,9465.6,30110
66,대전광역시,중구,1312057.9,917392.3,68358.8,311613,14693.7,30140
67,대전광역시,서구,2622665.5,2137223.6,72863.6,395382.7,17195.5,30170
68,대전광역시,유성구,2386169.9,1926009,69862.8,370652.1,19646,30200
69,대전광역시,대덕구,1392935.9,842267.1,74260.4,446734.5,29674,30230
70,울산광역시,중구,1167414.4,939267.3,40449.5,170394.5,17303.1,31110
71,울산광역시,남구,1931784.9,1477088,59894.4,353431.9,41370.6,31140
